Topic,Title,Content,Date,Link,src
Business,Carbon-free hydrogen production needs multi-billion dollar subsidies to make it cost effective: research,"FRANKFURT (Reuters) - The falling cost of producing hydrogen from renewable power offers a promising route to cutting emissions, but governments need to step in and provide $150 billion of subsidies over the next decade to scale up the technology, according to research from Bloomberg New Energy Finance (BNEF). ","March 30, 2020 /  12:08 PM / Updated 2 hours ago",https://www.reuters.com//article/us-hydrogen-investment-study/carbon-free-hydrogen-production-needs-multi-billion-dollar-subsidies-to-make-it-cost-effective-research-idUSKBN21H1SC,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
Business,Equinor to quit U.S. lobby group over climate policy,"OSLO (Reuters) - Equinor (EQNR.OL) will leave industry the Independent Petroleum Association of America (IPAA) lobby group over a disagreement on climate policy, the energy producer said on Friday.     ","March 27, 2020 /  3:52 PM / in 3 days",https://www.reuters.com//article/us-equinor-lobbying/equinor-to-quit-u-s-lobby-group-over-climate-policy-idUSKBN21E2KU,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
Business,Nestle says cuts deforestation in its cocoa supply chain,"LONDON (Reuters) - Nestle, the world’s biggest food company, says it has made significant progress removing cocoa produced in protected forests in West Africa from its supply chain as pressure builds from consumers and governments for ethically sourced cocoa. ","March 27, 2020 /  12:20 PM / 3 days ago",https://www.reuters.com//article/us-cocoa-deforestation-chocolate/nestle-says-cuts-deforestation-in-its-cocoa-supply-chain-idUSKBN21E1S6,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
Business,"Detroit's near future based on SUVs, not EVs, production plans show","DETROIT (Reuters) - General Motors Co (GM.N) and Ford Motor Co (F.N) have widely touted their commitment to emission-free electric cars, but their production plans show a growing reliance on ever-larger gas-powered vehicles. ","March 26, 2020 /  11:14 AM / 4 days ago",https://www.reuters.com//article/us-autos-emissions-suvs-insight/detroits-near-future-based-on-suvs-not-evs-production-plans-show-idUSKBN21D1KW,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
Business,"As Europe fights coronavirus and climate, is 'green stimulus' the way?","LONDON (Reuters) - For European governments battling to brace economies pummeled by the coronavirus, there might be no better time to go green. ","March 24, 2020 /  4:26 PM / 6 days ago",https://www.reuters.com//article/us-health-coronavirus-green-analysis/as-europe-fights-coronavirus-and-climate-is-green-stimulus-the-way-idUSKBN21B2NZ,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
Business,Breakingviews - Dixon: Here’s how to stop humungous fiscal costs,"LONDON (Reuters Breakingviews) - Governments will rack up eye-popping bills to fight coronavirus if they’re not careful. The key will be to avoid debilitating stop-go strategies, where economies come out of lockdowns only to go in again. But that will only happen if exit strategies are well planned, not rushed. ","March 30, 2020 /  10:49 AM / Updated 3 hours ago",https://www.reuters.com//article/us-health-coronavirus-government-breakin/breakingviews-dixon-heres-how-to-stop-humungous-fiscal-costs-idUSKBN21H1HD,https://s1.reutersmedia.net/resources_v2/images/1x1.png
Business,South Korea first-quarter thermal coal imports set for 10-year low on anti-pollution measures,"SEOUL (Reuters) - South Korea’s first-quarter thermal coal imports are set to fall to a decade-low due to stricter air pollution measures, while the coronavirus outbreak has reduced the country’s demand for electricity. ","March 26, 2020 /  3:02 AM / 4 days ago",https://www.reuters.com//article/us-southkorea-coal-power/south-korea-first-quarter-thermal-coal-imports-set-for-10-year-low-on-anti-pollution-measures-idUSKBN21D0AR,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
Business,Rio Tinto raps Australian lobby group for coal support,"MELBOURNE (Reuters) - Rio Tinto (RIO.L) (RIO.AX) said on Thursday it had found several cases where Australia’s biggest mining industry body advocated for thermal coal in contravention of 2015 Paris climate goals, as it released a review of its membership in industry groups. ","March 26, 2020 /  7:42 AM / in 4 days",https://www.reuters.com//article/us-climatechange-australia-lobbying/rio-tinto-raps-australian-lobby-group-for-coal-support-idUSKBN21D0SG,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
Business,Coronavirus redraws battle lines on airline emissions,PARIS/BRUSSELS (Reuters) - European airlines crippled by the coronavirus have demanded lasting relief from environmental taxes - in a move that pits their immediate survival against longer-term emissions goals. ,"March 24, 2020 /  12:04 PM / 6 days ago",https://www.reuters.com//article/us-health-coronavirus-airlines-climatech/coronavirus-redraws-battle-lines-on-airline-emissions-idUSKBN21B1RQ,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
Business,"BlackRock stands by climate priorities, sees tougher shareholder votes",BOSTON/LONDON (Reuters) - BlackRock Inc executives who set the asset manager’s influential proxy votes on Tuesday outlined tougher priorities tied to climate change and executive pay for the upcoming corporate annual meeting season taking place amid the coronavirus pandemic. ,"March 18, 2020 /  10:10 AM / 11 days ago",https://www.reuters.com//article/us-health-coronavirus-blackrock/blackrock-stands-by-climate-priorities-sees-tougher-shareholder-votes-idUSKBN2151EJ,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
