Topic,Title,Content,Date,Link,src
Economy,COVID -19 : EU decides�immediate disbursement of �250 million in budgetary support for Tunisia,"(TAP)- The European Union (EU) has decided to allow the immediate disbursement of �250 million in budgetary support for Tunisia, EU Ambassador in Tunis Patrice Bergamini Saturday announced in a Facebook post. This will be in the shape of donations to help Tunisia contain COVID-19 and mitigate its socio-economic impact.Bergamini said the decision was announced by European Commissioner for European  Neighborhood Policy and Enlargement Negotiations Oliver Varhelyi at a telephone conversation with Foreign Affairs Minister Noureddine Erray on Saturday. The EU official also announced that funds earmarked for the  Health Sector Support Programme in Tunisia (""Essaha Aziza"") will be beefed up as they will increase from 20 million euros for 13 governorates to 60 million euros for all governorates.""The EU stands with Tunisia to tackle COVID-19 together,"" the post further reads        ","28/03/2020 18:25, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12500952-covid-19-eu,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,Two containers carrying large quantity of medical supplies seized ,"(TAP) - The Customs Border Office in the port of Rades, on Thursday evening, seized two containers filled with a large quantity of medical supplies, including undeclared gloves, surgical masks and gowns.After conducting a meticulous search, customs officers found out that these items are expired, the General Directorate of Customs said in press release Saturday.A total of 233,680 items were seized, including 133,400 gloves, 92,000 masks and 9,280 surgical gowns, the same source said, stressing that the legal provisions were initiated.    ","28/03/2020 16:22, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12500713-two-containers,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,Earth Hour event celebrated digitally on Saturday (WWF Tunisia),"(TAP)- In light of the crisis related to COVID-19, the WWF Tunisia (World Wide Fund for Nature), like several countries around the world, has changed its strategy of celebrating the Earth Hour event, calling for digital citizen mobilisation and turning off the lights this Saturday, from 8:30 pm to 9:30 pm.WWF Tunisia has also launched a set of Virtual Panda Talks to bring together national experts and actors in the field to discuss various environmental issues and to call on the public to show their commitment to the planet.This Saturday 28 March from 5 pm to 6.30 pm, a Virtual Panda Talk will be organised by WWF Tunisia and the association Earth Hour Tunisia to discuss the impact of climate change and the challenges for Tunisia to honour its commitments in the contributions determined at the National level (CDNs) and also the measures that the country needs to take for an effective energy transition.The talk will be organised with the participation of civil society, media and international experts as well as the general public.WWF Tunisia is calling on citizens to join the Earth Hour movement from their homes by turning off the lights today from 8:30pm to 9:30pm and lighting a candle as a tribute to Humanity and the Earth.Earth Hour is the largest environmental event in the world organised by WWF. By the simple act of turning off the lights for one hour, the international non-governmental organisation raises awareness about protecting our planet, conserving biodiversity and fighting climate change.Earth Hour is the largest environmental event in the world organized by WWF. By the simple act of turning off the lights for one hour, the international non-governmental organization raises awareness about protecting our planet, preserving biodiversity and combating climate change.  ","28/03/2020 13:00, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12500084-earth-hour-event,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,COVID-19: overall bank contribution rises to 112 MD (APTBEF),"(TAP) - The overall contribution of the banking sector to the national effort to combat the spread of coronavirus (COVID-19) initially estimated between 12 and 15 million dinars, has risen to 112 million dinars, the Tunisian Professional Association of Banks and Financial Institutions (APTBEF) said Friday.This contribution is part of a concerted action of several Tunisian banks on an initiative of the Association, the APTBEF said in a press release.The action, which began on March 22, has seen the confirmation of no less than 9 banks which have made their additional contribution compared to the first payments made initially.They are BIAT with an additional contribution of 15 MD, BIAT (15 MD), BH (10 MD), Attijari (10 MD), STB (10 MD), UIB (10 MD), BNA (10MD), BT (10 MD), Amen Bank (10 MD) and UBCI (7 MD).This national solidarity effort largely contributes to the implementation of the accompanying measures decided by the Government to support Tunisian companies and low incomes individuals, through its banks, leasing and factoring companies, underlines the APTBEF.In addition to this contribution, the sector will also continue to provide support in the manufacture of medicines and the purchase of equipment for healthcare personnel, it added. ","27/03/2020 16:18, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12497323-covid-19-overall,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,Pharmaceuticals- Coronavirus: online chatbot launched to raise awareness ,"(TAP)- A chat robot called ChatBot was launched by the Arab Company for Drug Industries (French: SAIPH) so as to raise the awareness of the public at large and of health professionals  about prevention measures against COVID-19. The robot can hold online discussions, answer questions and brief healthcare professionals about ways to dispense care to patients in full security, SAIPH said Friday in a press release.  Called ""Safe,"" this robot can chat with internet users in the Tunisian dialect or in French on the following Facebook page   (https://www.facebook.com/LABOSAIPH/).Safe can answer questions of browsers using Messenger about contagion from the coronavirus pandemic  and prevention measures; it also provides updated information about the spread of the virus in Tunisia . Health professionals can get in touch with operators from SAIPH laboratories via the chat robot. They will have their questions answered about the availability of drugs amid the spread of COVID -19. A website (www.saiph-labo.com/Page) was created to access the ChatBot.     ","27/03/2020 15:03, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12496719-pharmaceuticals,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,"COVID-19/HPR: ""This is no time for partisan bargaining"", says Finance Minister","(TAP) - The current situation in the country is ""difficult,"" Finance Minister Nizar Ya�ch said Thursday, adding that ""this is not the time for partisan bargaining but for unity in the face of the COVID-19 epidemic.Reacting to the interventions of deputies during a plenary session at the House of People's Representatives (HPR), devoted to the health situation in the country, the minister also considered that ""we must wage a war against the spread of the coronavirus, calling for a review of working methods to overcome the problems of public finances"". Furthermore, ""the overall reform of the economy"" is a priority in the opinion of the Minister, who insists in this respect on a step to be taken in the framework of ""respect for the principles of democracy"".According to Ya�ch, ""there is no question of delaying the repayment of the country's debts"". The choice to engage in this option would be risky, he explained, believing that ""there are other alternatives"". He also recalled the measures taken by the government to quickly limit the spread of the new coronavirus and mitigate its health and economic impact. To this end, he recommended, ""facilitating the implementation"" of the 20 government measures recently announced.The Minister considered that the government must support the private sector taking stock of a sector that constitutes ""an engine of economic growth"". He also noted the growing role of this sector in the face of a struggling public sector. The government is calling on the private sector to preserve jobs, the minister said, reiterating the authorities' commitment to supporting it in finding a way out of the current situation. With regard to contributions to the 1818 Fund for the fight against the spread of COVID-19, Ya�ch considered that the 25 million dinars allocated remain ""insufficient"", while inviting citizens to show more solidarity. In this period of a health crisis, the microfinance sector has decided to postpone the payment of credit instalments for the benefit of 450 thousand clients, the minister said. In order to benefit from this grace period, the Minister reminded that clients are called upon to contact the institutions with which they contracted their credits. ","26/03/2020 23:58, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12494509-covid-19-hpr-this,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,COVID-19: Tunisian organisations call for creating high scientific council,"(TAP)- In a bid to curb the spread of COVID-19 in the country, Tunisian non-governmental organisations called for establishing a high scientific council. The council will help clarify and support government crisis and post -crisis decisions, the same source said.  Working within full transparency and autonomy, while taking account of  available and mobilisable resources, the high scientific council will set out what needs to be done by decision-makers from a scientific perspective and reassure the public opinion, reads a press release.  Signatories said it would be more effective, given the spread of the virus, to rely on a high scientific authority, namely the high scientific council.  The latter will regularly  provide a scientific opinion on the,pandemic and recommend appropriate measures at each stage.   Signatory organisations are:        � The Association of Tunisian Women for Research and Development El Amel tounsi  Perspectives Association  The Tunisian Association for the Defense of Individual Liberties  The Tunisian Association for the Defense of University Values  The Tunisian Association of Democratic Women The Tunisian Association of History and Citizenship Education       The Association of Vigilance for Democracy and Civic State     The Tunis Centre for Press Freedom                                                               The Tunisian Coalition Against the Death Penalty          The Committee for the Respect of Freedoms and Human Rights in Tunisia Ahmed Tlili Fondation for Democratic Culture  The Tunisian League of Human Rights The  National Observatory for the Defence of the Civilian Nature of the State  The Organisation against Torture in Tunisia Doustourna Network The National Union of Tunisian Journalists.                               ","26/03/2020 16:42, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12492158-covid-19-tunisian,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,"COVID-19: Huawei donates surgical masks, screening test kits and video conferencing ","(TAP) - Chinese ICT Company Huawei is donating 10,000 test kits, 100,000 surgical masks and several video conferencing systems for Tunisia.Huawei's executives, namely Philippe Wang, Huawei's Executive Vice-President for the North Africa, as well as Spark Zhang, Huawei Managing Director Tunisia and Adnane Ben Halima, Huawei Tunisia's deputy managing director, met on Wednesday at the government headquarters in the Kasbah, with Secretary-General of the Government Khalil Chtourou, confirmed the Chinese telecommunications giant' commitment to the fight against coronavirus in Tunisia, through implementing several technological health projects, said a press release issued Thursday.""It is a great assistance from our friends in Huawei to donate 10,000 COVID-19 test kits and 100,000 surgical masks.This will help us to accelerate the number of tests per day and to fight against this virus with more medical equipment,"" said the government secretary general.He expressed the Tunisian government's gratitude for Huawei's commitment to Tunisia and its efforts to activate the delivery of equipment ordered from China.Huawei Managing Director Tunisia Spark Zhang said: ""we are working with the Ministry of Health to cope with the rising number of patients.""The objective is to facilitate the import of rapid screening kits and masks, which will be provided soon,"" he added.Ben Halima, for his part, assured that: ""we are negotiating with our Chinese friends the possibility of providing other techniques that are more efficient in terms of time and technology for a faster treatment of the infection.�Huawei representatives went to the Ministry of Health for a meeting with Minister Abdellatif Mekki and his chief of staff Mounir Romdhani.The Minister of Health thanked Huawei for its valuable and unique support to Tunisia in its fight against COVID-19.""I am impressed by the video conferencing system installed at the Ministry of Health last week. It has allowed us to stay in touch with the various stakeholders in the crisis in all governorates in full safety,� he said.For his part, Philippe Wang said: ""As a player at the forefront of technology, Huawei is making available to Tunisia all its resources to help it make prevention and also COVID-19 treatment more effective.Mekki, for his part, praised the major effort being made by the Chinese technology giant to help Tunisia in these difficult times. ","26/03/2020 16:07, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12492782-covid-19-huawei,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,Activity of call centres shrinks by half over COVID-19 ,"(TAP) - The activity of customer service and call centres in Tunisia, worth about �300 million per year, shrank by half in the last few weeks over the spread of  COVID-19, notably in Europe. ""Even before the enforcement of the general lockdown and the announcement of the first cases in Tunisia, operators saw their activity drop as most clients are companies based in Europe, the first cluster of the virus currently,"" President of the National Union of  Customer Service and Call Centres (French: Externalys) Sahbi Gargouri told TAP.   ""With COVID-19, 40% of our employees work from home. Few people work from office to discharge sensitive tasks,"" he added. The official said the goal is to ensure the continuity of services of companies providing assistance and basic services, including health insurance and complementary private health insurance, transport, finance, telecommunications and energy pursuant to the government decision and the measures announced by the Ministry of Information Technology and Digital Transition.  Over 200 call centres are operating in Tunisia with companies based in Europe, mainly France, making the bulk of their customers.   ","26/03/2020 14:17, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12491782-activity-of-call,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Economy,BCT considers reducing key interest rate again (Marouane El Abassi),"(TAP)� Governor of the Central Bank of Tunisia (BCT) Marouane El Abassi highlighted the possibility of reducing the key interest rate again during the next period.At his meeting with Speaker of the House of People's Representatives (HPR) Rached Ghannouchi Wednesday, El Abassi said the BCT's services are in touch with banks and government structures to examine ways to deal with the current concerns.The Central Bank's current policy takes into account the current economic situation in the country, he said, stressing that its financial balances are sound. El Abassi presented the HPR Speaker with the bank's financial statements and profits made in 2019, as well as the report of auditors.Ghannouchi emphasised the key role of the BCT and the banking sector to react effectively to this situation marked by exceptional measures. ","25/03/2020 19:16, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Economy/12488788-bct-considers,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
