Topic,Title,Content,Date,Link,src
Health,African Authorities Accused of Brutality in COVID-19 Lockdown,"Police around the continent have reportedly been accused of violating civilians' rights in effecting lockdown and curfew rules aimed at curbing spread of the deadly coronavirus. Arrests, shootings and use of teargas have been reported as measures taken by police to force citizens comply with regulations.","Nation, 28 March 2020",https://allafrica.com//view/group/main/main/id/00072605.html,https://cdn09.allafrica.com/download/pic/main/main/csiid/00551661:b67a40e40f6f597817ce8557a299813a:arc614x376:w416:us1.jpg
Health,"Police, Soldiers Heavy-Handed During South Africa COVID-19 Work?","Since President Cyril Ramaphosa's announcement of a lockdown in South Africa, the call to stay indoors has not been heeded in some communities and police and military have been tasked to support the call to contain the spread of COVID-19. There are growing concerns in township communities that the only source of food-buying, the spaza shops owned by foregin nationals, are being closed down by police, following what is being called a xenophobic message by Small business Development Minister Khumbudzo Ntshavheni who said ""only South African-owned spaza shops would be allowed to operate"" during the lockdown period. Added to this, people living in densely-populated informal settlements may also face the possibility of being forced to move to other areas. There has also been reports of alleged police violence towards residents in townships.","GroundUp, 30 March 2020",https://allafrica.com//view/group/main/main/id/00072602.html,https://cdn01.allafrica.com/download/pic/main/main/csiid/00551676:252a95b9e453aae0d4d8cb152ebde902:arc614x376:w416:us1.jpg
Health,Nigerians Groan as Lockdown in Some States Takes Toll,"The closure of markets and boders by some states as part of the efforts to contain the spread of the COVID-19 pandemic has brought economic hardship on its residents. They called on the government to either provide foodstuffs and essential commodities to all residents or come up with strategies to allow people to address their needs. President Muhammadu Buhari has ordered the restriction of all movements for two weeks in Lagos, Ogun and Abuja to stop the spread of COVID-19. ","This Day, 30 March 2020",https://allafrica.com//view/group/main/main/id/00072594.html,https://cdn01.allafrica.com/download/pic/main/main/csiid/00530201:90dfbbd57a723eb9a2c11276a797c4cc:arc614x376:w416:us1.jpg
Health,Zimbabwe Goes Into 21-Day Lockdown to Combat Spread of COVID-19,"Zimbabwean authorities have begun enforcing a three-week lockdown in its fight against the spread of the novel coronavirus after the disease left one person dead and infected six others. President Emmerson Mnangagwa had come under attack from Zimbabweans for delaying announcing the full lockdown but for many, the lockdown means tough times ahead.","New Zimbabwe, 30 March 2020",https://allafrica.com//view/group/main/main/id/00072601.html,https://cdn05.allafrica.com/download/pic/main/main/csiid/00551675:b28806d8ed388acb7f5e68bcdd8ae791:arc614x376:w416:us1.jpg
Health,How COVID-19 is Affecting Conflict-Affected Africa,"Communities living with conflict often have little to no interaction with government, there is usually a lack of trust in government, and a lack of knowledge leaving populations in conflict environments more vulnerable. As the world battles COVID-19, creating spaces for dialogue, deliberation and wider participation for the public can contribute to peacebuilding and to fighting the disease in these countries.","UN News, 27 March 2020",https://allafrica.com//view/group/main/main/id/00072606.html,https://cdn06.allafrica.com/download/pic/main/main/csiid/00551669:96b95f0941f35d83cb559421aaf7f0d7:arc614x376:w416:us1.jpg
Health,COVID-19 - Nigeria Tightens Rules for Offshore Oil Workers,"Nigeria National Petroleum Corporation has ordered oil and gas companies to reduce their offshore workforce and move to 28-day staff rotations as part of measures to curb the spread of the coronavirus. The restrictions follows a report by the Nigerian Ports Authority that six workers aboard an offshore rig support vessel, tested positive for coronavirus.","This Day, 30 March 2020",https://allafrica.com//view/group/main/main/id/00072590.html,https://cdn07.allafrica.com/download/pic/main/main/csiid/00371441:a463ff5e91ccac19d2ee053049ed94fa:arc614x376:w416:us1.jpg
Health,"Meet Emma Theofilus, Africa’s Youngest Minister at 23","Africa's leaders are not exactly known for listening to young people - but some have cottoned on to the best plan to change their fortunes by appointing new, young Cabinet ministers. Young Africans across the continent have commended Namibian President Hage Geingob for appointing 23-year-old Emma Theofilus as information and technology deputy minister after becoming the youngest MP ever in the Namibia Parliament.","Namibian, 24 March 2020",https://allafrica.com//view/group/main/main/id/00072604.html,https://cdn04.allafrica.com/download/pic/main/main/csiid/00551593:61d1f06659ee054b6cc3560fe993d563:arc614x376:w416:us1.jpg
Health,"As COVID-19 Pandemic Rages, Women and Girls Are Even More At Risk","Governments across Africa are taking unprecedented measures to limit the spread of the novel coronavirus. But policymakers must not lose sight of the vulnerabilities of women and girls, says United Nations Population Fund. Risks to women and girls include their disproportionately high representation among health-care and social service personnel; the possibility that health systems may divert resources from sexual and reproductive health care; and an increased risk of domestic abuse and other forms of gender-based violence.","UNFPA, 19 March 2020",https://allafrica.com//view/group/main/main/id/00072527.html,https://cdn06.allafrica.com/download/pic/main/main/csiid/00551599:d1131c9afd469bb32cecabe4a50c2831:arc614x376:w416:us1.jpg
Health,Why Does Tanzania's President Want a Baby Boom?,"President John Magufuli has reiterated his position on birth control, urging citizens to keep having children, saying that a large population is beneficial to the economy. Tanzania's population is currently at 59.7 million people while the birth mortality rate is about 37.6 deaths per 1,000 live births.","Daily News, 17 March 2020",https://allafrica.com//view/group/main/main/id/00072423.html,https://cdn05.allafrica.com/download/pic/main/main/csiid/00551506:205c597b37922d611d3e43646dbccf74:arc614x376:w416:us1.jpg
Health,World 'Woefully' Underestimates Female Genital Mutilation - Study,"Female genital mutilation affects far more countries than previously thought, a new study says. FGM is traditionally associated with a swathe of African countries, but the study highlights growing evidence that the ritual is also practised in other regions.","Thomson Reuters Foundation, 17 March 2020",https://allafrica.com//view/group/main/main/id/00072410.html,https://cdn09.allafrica.com/download/pic/main/main/csiid/00551503:9ba302ca3eb24c8e2492001d00201ede:arc614x376:w416:us1.jpg
