Topic,Title,Content,Date,Link,src
Media,Fakhfakh receives representatives of Tunisian media,"(TAP) - Prime Minister Elyes Fakhfakh received on Monday representatives of four union structures of Tunisian media, namely President of the National Union of Tunisian Journalists (SNJT) Neji Bghouri, President of the Tunisian Federation of Newspaper Directors (FTDJ) Taieb Zahar, President of the National Union of Private Radio Stations Mohamed Kamel Robbana and President of Private TV Channels Union Lassad Kedher. According to a Prime Ministry press release, Fakhfakh affirmed ""his support to the freedom of the press and the government's commitment to guarantee its independence,"" pointing out ""the important role of media in raising the citizens' awareness and supporting the State's efforts in combating the new coronavirus and means to prevent it.""  The meeting offered the occasion to the Premier to listen to the concerns of the representatives of the profession and the difficulties facing the written press, confiscated media and the media sector in general. To this end, he expressed ""the government's interaction with all media reform proposals and the consecration of the citizen's right to a pluralist, free and independent press. For its part, the Tunisian Federation of Newspaper Directors issued a press release in which it speaks of a meeting that ""helped examine means to overcome the suffocating crisis facing the written and electronic press sector, so as all the institutions succeed  in perpetuating their activities and participate actively in raising awareness about the dangers of the new coronavirus."" In order to preserve the health of the various players in the sector, the Federation advised newspaper directors to suspend the print edition as of March 23, and to make do with the electronic version.    ","24/03/2020 09:58, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12481151-fakhfakh-receives,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,"International virtual conference dedicated to cultural and creative sector, March 20","(TAP) – An international virtual conference will be organised on March 20 on the theme: “Covid-19 crisis and Emerging Funding Mechanisms: What action plan for the Cultural and Creative sector.” The event takes place in a global context marked by the suspension of all cultural and artistic events as a precautionary measure against Covid-19. The Rambourg Foundation Tunisia announces that this conference will be held in partnership between Cultural Funding Watch and the Rambourg Foundation who have ""partnered with different parts of the Creative and Cultural sector around the world."" The aim is to bring together the knowledge of the various cultural actors involved and their experiences of best practice in the field, for discussion and investigation.The Foundation indicates an objective to be achieved ""by harnessing the digital technologies and assets that we need to communicate and connect in this time of disconnection.""This virtual space aims to bring together artists, cultural and creative workers, institutional representatives, fund initiators to share their best practices from previous experiences on how to mobilise funds and share their know-how in crisis management.  The organisers are planning three workshops, the first will focus on ""Initiatives to be taken from an institutional point of view: Strategies and public policies of government institutions."" The other two workshops will focus on initiatives to be taken from the point of view of the arts and cultural community and those to be taken by the private sector and foundations. Beyond the conference, the organisers hope to provide a united network of players who will continue to collaborate and strengthen each other by sharing what they know best, making the sector as strong as possible once everyone has emerged from the other side of the crisis. The conference is open to all web users who are called to fill out the application form available on the organisers' social networks. ","19/03/2020 10:49, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12461087-international,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,SNJT puts off activities over Covid-19 ,"(TAP) - The National Union of Tunisian Journalists (French: SNJT) said on Tuesday all its activities, notably training sessions, seminars and meetings, will be put off.The move to avoid mass gatherings falls within the framework of the national strategy to combat the spread of Covid-19 and comes in abidance by the government's decisions, the SNJT said. ","17/03/2020 16:14, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12451178-snjt-puts-off,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,"Cinemas, theatres and all public and private cultural spaces close until April 4","(TAP) - The Ministry of Cultural Affairs has decided to close, until April 4, movie theatres, theatres, art galleries and all spaces that host artistic performances throughout the country.In a statement issued Saturday, the ministry said the measure concerns the various cultural and artistic spaces mentioned above, both public and private. These new restrictions will have to be respected until further notice and in consultation with the various local and regional official parties involved.Previous preventive measures had previously been announced by the supervising ministry, which decided on Tuesday March 10 to postpone all cultural and artistic events organised by the institutions under its supervision throughout the republic.Museums were so far partially spared. In a new letter addressed to the heads of its local and regional institutions, the ministry indicates that the archaeological museums and historical sites open to public visits will now be closed until further notice. This restriction does not affect open-air museums, but the number of visitors allowed to enter them will be limited.The Ministry also announces that the reading rooms at the National Library of Tunisia (BNT) will be closed until further notice. However, the services offered to members in the various public libraries in the country remain open for borrowing only.With the exception of administrative tasks, all activities of the various public cultural and artistic institutions have been totally interrupted. The restriction also affects the activities of clubs, training courses and workshops within these institutions.This decision comes in the wake of the anticipated preventive measures against the coronavirus announced on Friday March 13 by Prime Minister Elyès Fakhfakh. The detection of new cases of contamination with covid-19 in the country has further led the official authorities to reinforce the measures taken at the national level to prevent the spread of the virus on a larger scale.The Ministry is counting on the understanding of the various stakeholders in cultural and artistic activity, particularly in the private sector, which will be affected by this restriction imposed by the current rather delicate health situation.","14/03/2020 21:02, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12440584-cinemas-theatres,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,Covid-19: cultural events and activities postponed or suspended ,"(TAP) - The Ministry of Cultural Affairs announced on Wednesday the postponement or suspension of cultural and artistic events and activities.These new decisions concern public institutions and bodies under the ministry's supervision. The suspensions and postponements will be maintained until further notice.Here is the complete list of the announced decisions:- Suspension of courses in all Public and Regional Music Institutes- Postponement of all cultural and artistic events planned at the City of culture- Postponement of regional theatre festivals- Postponement of Artistic Professionalism Examination Papers- Postponement of collective guided visits to museums, archaeological sites and historical monuments and those to the City of Culture for a later date- Services to members of regional and public libraries will be limited to lending books- The cultural complexes and houses of culture will only be open to the activities of clubs and those that do not attract a large number of people.The Ministry recalls that these new arrangements are being made in accordance with the Covid-19 preventive measures decided nationwide.","11/03/2020 22:24, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12427986-covid-19-cultural,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,HPR passes bill on PAIPO Statute ,"(TAP) – The House of People’s Representatives (HPR) passed on Wednesday a bill on the statute of the Pan African Intellectual Property Organisation (PAIPO) which will have its headquarters in Tunisia.  153 MPs voted for the bill, 8 against it and 6 abstained. Article 8 of the PAIPO Statute stipulates that the headquarters of the PAIPO should be situated in Tunisia in accordance with the decision of the African Union Assembly.The PAIPO Statute was adopted during the 26th Ordinary Session of the African Union Assembly, held on January 30-31, 2016 in Addis Ababa. ","11/03/2020 12:51, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12425422-hpr-passes-bill-on,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,All cultural and artistic activities postponed (Culture Ministry) ,"(TAP) - All cultural and artistic events of national and international scope have been postponed for dates to be announced later. This temporary suspension regards the events organised by the Culture Ministry as well as those organised by the institutions under its supervision. The decision was announced on Tuesday afternoon by the Ministry in an administrative letter sent to the heads of public cultural institutions as well as to the regional delegates for cultural affairs. It is part of the national action plan and preventive measures of the new coronavirus or what is scientifically known as covid-19.The Ministry also announced the postponement of ""events and activities that attract a fairly large audience.""","11/03/2020 11:12, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12424913-all-cultural-and,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,Project for enhancement and promotion of Habib Bourguiba Museum to be launched March 20,"(TAP) - The ""Project for the enhancement and promotion of the Habib Bourguiba Museum Skanes Palace: The creation of a museum brand image"" will be launched on March 20, announces the National Heritage Institute (INP).An awareness day which is scheduled for the launch of this event, organised by the International Council of Museums (ICOM) Tunisia, will coincide with the celebration of Tunisia's 64th anniversary of the Independence Day.The ICOM Tunisia project falls in line with the ICOM's programmes. The international organization of museums and museum professionals is dedicated to research, conservation, sustainability and transmission to society of the world's natural and cultural heritage, present and future, tangible and intangible. It counts 44,686 members in 138 countries with a total of 118 national committees and 32 international committees. The ICOM is a membership association and non-governmental organisation that sets professional and ethical standards for museum activities. It is the only international organisation in the field of museums. ","06/03/2020 12:17, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12405717-project-for,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,Ghannouchi receives delegation from Federation of Newspaper Directors ,"(TAP)- A delegation of the Tunisian Federation of Newspaper Directors (FTDJ) presented on Thursday to Speaker of the House of People's Representatives (HPR) Rached Ghannouchi an overview of the Tunisian press situation, the challenges faced by media enterprises and the negative impact on the working conditions of journalists and journalistic production in general.The delegation members stressed the importance of speeding up the promulgation of draft laws related to the press and media sector notably that related to the creation of a National Agency for the Management of Public Advertising and Subscriptions, which has been submitted to parliamentary committees.They also pointed out the need to consider other mechanisms to develop the print and electronic media, according to a HPR press release. Ghannouchi affirmed willingness to include these legislations among the priorities of the HPR's work, referring to the important role of the media and the need to adapt to innovative technologies.He underlined that the freedom of expression is an important asset that must be preserved and strengthened to ensure the sustainability of media enterprises and develop a media product that meets the expectations of the Tunisian people, according to the same source.The delegation included Sahar Mechri, Taieb Zahar, Mohamed Aroussi Ben Salah, Kais Ben Mrad, Khaled Aouij, Mohamed Hamrouni and Afif Kchouk.","06/03/2020 10:28, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12405480-ghannouchi-receives,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Media,"IPSI hosts Conference on ""Teaching Francophone Journalism: Difficulties and Prospects""   ","(TAP) - A conference on the theme: ""Teaching Francophone Journalism: Difficulties and Prospects"" will be organised by the Institute of Press and Information Sciences (IPSI) and the Tunisia Section of the Union de la Presse Francophone (UPF) on March 3. The conference will be attended by professors from IPSI and members of UPF Tunisia, says a press release by the UPF.The participants will discuss the challenges of teaching French-language journalism in relation to the job market, the opening of the Tunisian university to French-language journalism schools around the world and the role of professional organisations in promoting French-language journalism, says the same source.The conference will close with the signing of an agreement between the IPSI and the UPF Tunisia section and the launch of a Francophone press club, the UPF added.","29/02/2020 10:18, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Culture-and-Media/12380297-ipsi-hosts,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
