Content,Date,Link,Title,Topic
"The governing body for Canadian equestrian sports and horse welfare is warning that without financial support, horse owners could be forced to sell their animals for slaughter as the coronavirus economic shutdown takes a toll on their bottom lines.",4 hours,https://globalnews.ca/news/6944773/canadian-horse-industry-coronavirus-pandemic/,Canadian horse owners could be forced to sell for slaughter as finances battered by COVID-19,World
"Looking toward the future amid COVID-19, every province has its own lens.",3 hours,https://globalnews.ca/,"‘No one-size-fits-all solution’: How Ontario’s reopening differs from Quebec, Alberta",World
China‘s ambassador to Canada is insisting his country is being victimized by a campaign of disinformation about its role in the spread of the coronavirus pandemic.,55 mins,https://globalnews.ca/,"‘China is a victim’ of coronavirus disinformation, its ambassador insists",World
"Plans to recover the Cyclone helicopter that crashed off the coast of Greece and killed six Canadian Armed Forces members will be released in the coming days, the military’s Chief of Defence Staff says.",11 hours,https://globalnews.ca/,Plans ‘well advanced’ to recover military helicopter in crash that killed 6: CAF chief,World
"A truck crammed with migrant labourers trying to reach their distant homes amid a nationwide lockdown crashed in northern India on Saturday, killing at least 23 and injuring 35.",5 hours,https://globalnews.ca/,Truck crash kills at least 23 Indian migrant workers laid off by coronavirus lockdown,World
"Researchers in the United Kingdom have received government funding to determine if dogs can detect COVID-19 through scent, which could lead to a new form of tracing the spread of the disease.",8 hours,https://globalnews.ca/,Can dogs detect COVID-19? U.K. researchers are studying if they can pick up the scent,Health
"More men have died from COVID-19, the disease caused by the novel coronavirus, across the world than women — except in Canada.",9 hours,https://globalnews.ca/,More Canadian women have COVID-19 and are dying as a result. Here’s some possible reasons why,Health
We are living through one of those times in history when everything changes – a  moment in time we will collectively come to describe in terms of ‘before’ and ‘after.’,5 hours,https://globalnews.ca/,"Travel will never be the same, thanks to COVID-19",World
"An Albertan airshow producer is remembering the woman killed after a plane with the Canadian Forces Snowbirds demonstration team crashed in Kamloops, B.C., on Sunday as a positive person with a passion for the industry.",May 17,https://globalnews.ca/,CF Snowbirds team member killed in crash remembered as ‘sunshine’: Alberta airshow producer,World
"Nearly three dozen pilots flew over British Columbia’s Lower Mainland on Monday evening to commemorate Canadian Forces Snowbirds Capt. Jennifer Casey, who was killed in a plane crash on Sunday during a cross-country tour to improve morale and thank front-line workers during the coronavirus pandemic.",May 18,https://globalnews.ca/,Dozens of pilots stage flyover tribute to Snowbirds in B.C. after fatal crash,World
