Title,Content,Topic,index
covid 19 eu decides immediate disbursement 250 million budgetary support tunisia,tap european union eu decided allow immediate disbursement 250 million budgetary support tunisia eu ambassador tunis patrice bergamini saturday announced facebook post shape donations help tunisia contain covid 19 mitigate socio economic impact bergamini said decision announced european commissioner european neighborhood policy enlargement negotiations oliver varhelyi telephone conversation foreign affairs minister noureddine erray saturday eu official also announced funds earmarked health sector support programme tunisia essaha aziza beefed increase 20 million euros 13 governorates 60 million euros governorates eu stands tunisia tackle covid 19 together post reads,Economy,0
two containers carrying large quantity medical supplies seized,tap customs border office port rades thursday evening seized two containers filled large quantity medical supplies including undeclared gloves surgical masks gowns conducting meticulous search customs officers found items expired general directorate customs said press release saturday total 233 680 items seized including 133 400 gloves 92 000 masks 9 280 surgical gowns source said stressing legal provisions initiated,Economy,1
earth hour event celebrated digitally saturday wwf tunisia,tap light crisis related covid 19 wwf tunisia world wide fund nature like several countries around world changed strategy celebrating earth hour event calling digital citizen mobilisation turning lights saturday 8 30 pm 9 30 pm wwf tunisia also launched set virtual panda talks bring together national experts actors field discuss various environmental issues call public show commitment planet saturday 28 march 5 pm 6 30 pm virtual panda talk organised wwf tunisia association earth hour tunisia discuss impact climate change challenges tunisia honour commitments contributions determined national level cdns also measures country needs take effective energy transition talk organised participation civil society media international experts well general public wwf tunisia calling citizens join earth hour movement homes turning lights today 8 30pm 9 30pm lighting candle tribute humanity earth earth hour largest environmental event world organised wwf simple act turning lights one hour international non governmental organisation raises awareness protecting planet conserving biodiversity fighting climate change earth hour largest environmental event world organized wwf simple act turning lights one hour international non governmental organization raises awareness protecting planet preserving biodiversity combating climate change,Economy,2
covid 19 overall bank contribution rises 112 md aptbef,tap overall contribution banking sector national effort combat spread coronavirus covid 19 initially estimated 12 15 million dinars risen 112 million dinars tunisian professional association banks financial institutions aptbef said friday contribution part concerted action several tunisian banks initiative association aptbef said press release action began march 22 seen confirmation no less 9 banks made additional contribution compared first payments made initially biat additional contribution 15 md biat 15 md bh 10 md attijari 10 md stb 10 md uib 10 md bna 10md bt 10 md amen bank 10 md ubci 7 md national solidarity effort largely contributes implementation accompanying measures decided government support tunisian companies low incomes individuals banks leasing factoring companies underlines aptbef addition contribution sector also continue provide support manufacture medicines purchase equipment healthcare personnel added,Economy,3
pharmaceuticals coronavirus online chatbot launched raise awareness,tap chat robot called chatbot launched arab company drug industries french saiph raise awareness public large health professionals prevention measures covid 19 robot hold online discussions answer questions brief healthcare professionals ways dispense care patients full security saiph said friday press release called safe robot chat internet users tunisian dialect french following facebook page https www facebook com labosaiph safe answer questions browsers using messenger contagion coronavirus pandemic prevention measures also provides updated information spread virus tunisia health professionals get touch operators saiph laboratories via chat robot questions answered availability drugs amid spread covid 19 website www saiph labo com page created access chatbot,Economy,4
covid 19 hpr no time partisan bargaining says finance minister,tap current situation country difficult finance minister nizar yaich said thursday adding not time partisan bargaining unity face covid 19 epidemic reacting interventions deputies plenary session house people representatives hpr devoted health situation country minister also considered must wage war spread coronavirus calling review working methods overcome problems public finances furthermore overall reform economy priority opinion minister insists respect step taken framework respect principles democracy according yaich no question delaying repayment country debts choice engage option would risky explained believing alternatives also recalled measures taken government quickly limit spread new coronavirus mitigate health economic impact end recommended facilitating implementation 20 government measures recently announced minister considered government must support private sector taking stock sector constitutes engine economic growth also noted growing role sector face struggling public sector government calling private sector preserve jobs minister said reiterating authorities commitment supporting finding way current situation regard contributions 1818 fund fight spread covid 19 yaich considered 25 million dinars allocated remain insufficient inviting citizens show solidarity period health crisis microfinance sector decided postpone payment credit instalments benefit 450 thousand clients minister said order benefit grace period minister reminded clients called upon contact institutions contracted credits,Economy,5
covid 19 tunisian organisations call creating high scientific council,tap bid curb spread covid 19 country tunisian non governmental organisations called establishing high scientific council council help clarify support government crisis post crisis decisions source said working within full transparency autonomy taking account available mobilisable resources high scientific council set needs done decision makers scientific perspective reassure public opinion reads press release signatories said would effective given spread virus rely high scientific authority namely high scientific council latter regularly provide scientific opinion pandemic recommend appropriate measures stage signatory organisations association tunisian women research development el amel tounsi perspectives association tunisian association defense individual liberties tunisian association defense university values tunisian association democratic women tunisian association history citizenship education association vigilance democracy civic state tunis centre press freedom tunisian coalition death penalty committee respect freedoms human rights tunisia ahmed tlili fondation democratic culture tunisian league human rights national observatory defence civilian nature state organisation torture tunisia doustourna network national union tunisian journalists,Economy,6
covid 19 huawei donates surgical masks screening test kits video conferencing,tap chinese ict company huawei donating 10 000 test kits 100 000 surgical masks several video conferencing systems tunisia huawei executives namely philippe wang huawei executive vice president north africa well spark zhang huawei managing director tunisia adnane ben halima huawei tunisia deputy managing director met wednesday government headquarters kasbah secretary general government khalil chtourou confirmed chinese telecommunications giant commitment fight coronavirus tunisia implementing several technological health projects said press release issued thursday great assistance friends huawei donate 10 000 covid 19 test kits 100 000 surgical masks help us accelerate number tests per day fight virus medical equipment said government secretary general expressed tunisian government gratitude huawei commitment tunisia efforts activate delivery equipment ordered china huawei managing director tunisia spark zhang said working ministry health cope rising number patients objective facilitate import rapid screening kits masks provided soon added ben halima part assured negotiating chinese friends possibility providing techniques efficient terms time technology faster treatment infection huawei representatives went ministry health meeting minister abdellatif mekki chief staff mounir romdhani minister health thanked huawei valuable unique support tunisia fight covid 19 impressed video conferencing system installed ministry health last week allowed us stay touch various stakeholders crisis governorates full safety said part philippe wang said player forefront technology huawei making available tunisia resources help make prevention also covid 19 treatment effective mekki part praised major effort made chinese technology giant help tunisia difficult times,Economy,7
activity call centres shrinks half covid 19,tap activity customer service call centres tunisia worth 300 million per year shrank half last weeks spread covid 19 notably europe even enforcement general lockdown announcement first cases tunisia operators saw activity drop clients companies based europe first cluster virus currently president national union customer service call centres french externalys sahbi gargouri told tap covid 19 40 employees work home people work office discharge sensitive tasks added official said goal ensure continuity services companies providing assistance basic services including health insurance complementary private health insurance transport finance telecommunications energy pursuant government decision measures announced ministry information technology digital transition 200 call centres operating tunisia companies based europe mainly france making bulk customers,Economy,8
bct considers reducing key interest rate marouane el abassi,tap governor central bank tunisia bct marouane el abassi highlighted possibility reducing key interest rate next period meeting speaker house people representatives hpr rached ghannouchi wednesday el abassi said bct services touch banks government structures examine ways deal current concerns central bank current policy takes account current economic situation country said stressing financial balances sound el abassi presented hpr speaker bank financial statements profits made 2019 well report auditors ghannouchi emphasised key role bct banking sector react effectively situation marked exceptional measures,Economy,9
