Topic,Title,Content,Date,Link,src
Politics,MPs demand 'Army-style' compensation for NHS coronavirus victims,A group of 50 MPs have written to Boris Johnson to call for compensation for the families of those who lose their lives on the frontline of the battle against coronavirus.,"Tuesday 31 March 2020 12:06, UK",https://news.sky.com//story/coronavirus-mps-demand-army-style-compensation-for-nhs-workers-who-die-from-covid-19-11966185,https://e3.365dm.com/20/03/768x432/skynews-amged-el-hawrani-ent-consultant_4957865.jpg?20200329161650
Politics,'God help us all': PM under pressure over lack of protective virus gear,"Boris Johnson is facing growing pressure to get more personal protective equipment (PPE) to health workers after it was claimed some nurses were treating coronavirus patients ""without any protection at all"".","Tuesday 31 March 2020 10:22, UK",https://news.sky.com//story/coronavirus-boris-johnson-under-pressure-over-lack-of-protective-gear-for-nhs-staff-11966025,https://e3.365dm.com/20/03/768x432/skynews-amged-el-hawrani-ent-consultant_4957865.jpg?20200329161650
Politics,Coronavirus support loophole leaves workers without pay,"Full-time workers who have recently changed jobs are being sacked or left without pay because of an apparent loophole in the government's coronavirus support scheme, Sky News can reveal.","Tuesday 31 March 2020 12:48, UK",https://news.sky.com//story/coronavirus-support-loophole-leaves-workers-without-pay-11966008,https://e3.365dm.com/20/03/768x432/skynews-amged-el-hawrani-ent-consultant_4957865.jpg?20200329161650
Politics,UK to spend £75m on rescue flights to bring stranded Britons home,The UK is committing £75m to help Britons stranded abroad by chartering rescue flights when there are no other routes available.,"Tuesday 31 March 2020 06:53, UK",https://news.sky.com//story/coronavirus-uk-to-spend-75m-on-charter-flights-to-bring-stranded-britons-home-11965878,https://e3.365dm.com/20/03/768x432/skynews-amged-el-hawrani-ent-consultant_4957865.jpg?20200329161650
Politics,Coronavirus: Cummings becomes latest govt official to self-isolate,"The prime minister's chief adviser Dominic Cummings is in self-isolation after showing coronavirus symptoms, No 10 has confirmed.","Monday 30 March 2020 13:43, UK",https://news.sky.com//story/pm-adviser-dominic-cummings-self-isolates-after-showing-coronavirus-symptoms-11965644,https://e3.365dm.com/20/03/768x432/skynews-amged-el-hawrani-ent-consultant_4957865.jpg?20200329161650
Politics,Questions over COVID-19 testing as govt claims UK is 'right at the top of the league',A government minister has defended the UK's coronavirus testing regime following growing calls for the country to hugely expand its programme.,"Monday 30 March 2020 14:41, UK",https://news.sky.com//story/coronavirus-questions-over-testing-as-minister-claims-uk-is-right-at-the-top-of-the-league-table-11965700,https://e3.365dm.com/20/03/768x432/skynews-amged-el-hawrani-ent-consultant_4957865.jpg?20200329161650
Politics,Why Boris Johnson and other leaders have become more popular amid coronavirus,Boris Johnson's popularity - like that of the majority of world leaders - has risen significantly during the coronavirus crisis.,"Tuesday 31 March 2020 08:31, UK",https://news.sky.com//story/coronavirus-why-boris-johnson-and-other-world-leaders-have-become-more-popular-during-outbreak-11965748,https://e3.365dm.com/20/03/768x432/skynews-amged-el-hawrani-ent-consultant_4957865.jpg?20200329161650
Politics,MPs demand 'Army-style' compensation for NHS coronavirus victims,A group of 50 MPs have written to Boris Johnson to call for compensation for the families of those who lose their lives on the frontline of the battle against coronavirus.,"Tuesday 31 March 2020 12:06, UK",https://news.sky.com//story/coronavirus-mps-demand-army-style-compensation-for-nhs-workers-who-die-from-covid-19-11966185,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-st-thomas-hospital_4959002.jpg?20200331100018
Politics,'God help us all': PM under pressure over lack of protective virus gear,"Boris Johnson is facing growing pressure to get more personal protective equipment (PPE) to health workers after it was claimed some nurses were treating coronavirus patients ""without any protection at all"".","Tuesday 31 March 2020 10:22, UK",https://news.sky.com//story/coronavirus-boris-johnson-under-pressure-over-lack-of-protective-gear-for-nhs-staff-11966025,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-st-thomas-hospital_4959002.jpg?20200331100018
Politics,Coronavirus support loophole leaves workers without pay,"Full-time workers who have recently changed jobs are being sacked or left without pay because of an apparent loophole in the government's coronavirus support scheme, Sky News can reveal.","Tuesday 31 March 2020 12:48, UK",https://news.sky.com//story/coronavirus-support-loophole-leaves-workers-without-pay-11966008,https://e3.365dm.com/20/03/768x432/skynews-coronavirus-uk-st-thomas-hospital_4959002.jpg?20200331100018
