Topic,Title,Content,Date,Link,src
Society,COVID-19- toll-free number dedicated to psychological support for citizens operational,"(TAP)- Young volunteer doctors started answering calls to the toll-free number 80105050 that went into operation on Monday for people suffering from anxiety or psychological disorders during the period of general lockdown in the country.""The first calls received through this number on Monday showed a considerable number of citizens are suffering from insomnia, lack of appetite, anxiety and permanent stress and panic attacks,"" Anissa Bouasker, president of the Psychological Assistance Unit for Disaster Victims under the Ministry of Health said in a statement to TAP.She added that 200 psychologists, psychiatrists and medical practitioners are mobilized on a voluntary basis to provide free psychological assistance.""We have been active for a few hours now and we have seen a large influx of calls to this toll-free number,"" she pointed out.The psychological support unit for disaster victims provides the necessary accompaniment of citizens during the period of general lockdown to refer them, if necessary, to specialists, she added. ","30/03/2020 19:49, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12508191-covid-19-toll-free,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,"Tunisia ready to join UNESCO's ""Open Science"" initiative against COVID-19","(TAP) – Minister of Higher Education and Scientific Research Slim Choura, on Monday, took part in an international meeting of representatives of ministries in charge of science all over the world hosted by UNESCO on March 30.The objective of the meeting was to exchange views on the role of international cooperation in science and increased investment in the context of COVID-19.It aims to share expertise on approaches to support the role of science and technology in decision-making and to present various mechanisms and measures taken at the level of each country to fight the COVID-19 pandemic and its repercussions,"" said a statement from the Ministry of Higher Education and Scientific Research.Emphasis was placed on the importance to mobilise international support for a joint initiative on the adoption of ""open science"" and international scientific cooperation, in the context of this unprecedented global crisis.Shoura stressed the importance of using science and technology for the benefit of humanity and the necessity to adopt new approaches, based on cohesion and complementarity between countries in the scientific field.He called for lifting the barriers hindering the adoption of open science.He also presented the initiatives undertaken in Tunisia to support remote teaching and finance joint research projects to counter the coronavirus, expressing Tunisia's willingness to engage in the Open Science Initiative.The meeting brought together 122 countries and 77 ministers responsible for scientific research, according to the UNESCO.  ","30/03/2020 19:04, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12508016-tunisia-ready-to,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,Coronavirus: UGTT calls for paying more attention to Tunisians abroad,"(TAP) - The Tunisian General Labour Union (UGTT) called on the Ministries of Foreign Affairs and Social Affairs as well as diplomatic missions to strengthen the supervision of Tunisians abroad following the spread of the coronavirus in many parts of the world.It also called in a statement Monday to show more interest, particularly, for Tunisians living in regions where there is no official diplomatic representation by seeking to closely monitor the difficult situation in which they find themselves, guide them and provide social and health support for them.The Union urged the Government to mobilise the additional funds needed to enable diplomatic missions to fulfil their role towards Tunisians living abroad who need support and assistance in these difficult times.It also called on the government to urge host countries, including those that do not have bilateral agreements with Tunisia, to ensure that Tunisian emigrants can benefit from social security cover and humane treatment during this global health crisis.The UGTT also called on the government to create a website and database to communicate with Tunisians abroad and provide them with the necessary assistance in health and social orientation, stressing the importance of networking with immigration organisations and associations.It also called on the Tunisian government to provide the necessary assistance to foreign nationals residing in Tunisia, including students and regular immigrants, by providing them with accommodation, food and the necessary support.Tunisians residing abroad, including students, have in recent days launched distress calls on social media due to the deterioration of their social conditions following the quarantine imposed in several endemic areas in the world including France, Italy and Spain. ","30/03/2020 17:57, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12507813-coronavirus-ugtt,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,"Resumption of classes depends on developments of health situation, Saied and Fakhfakh agree at meeting","(TAP) – The resumption of classes in all educational institutions will depend on the developments of the health situation in the country during this period of the coronavirus (COVID-19) pandemic, it was agreed at a meeting between President of the Republic Kais Saied and Prime Minister Elyes Fakhfakh Monday at the Carthage Palace.Saied advocated speed and efficiency of interventions to protect all Tunisians, especially the poor people, said a Presidency statement.The meeting also reviewed the general situation in the country as well as the measures taken in all sectors and those likely to be taken in the future, in accordance with the development of the health situation.Emphasis was placed on the need to ensure coherence and complementarity between all state institutions in taking all necessary measures.  ","30/03/2020 17:24, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12507595-resumption-of,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,China willing to support Tunisia's efforts in fighting COVID-19,"(TAP) – Health Minister Abdellatif Mekki, on Monday, met Chinese Ambassador to Tunisia Wang Wenbin, who said his country is willing to strengthen partnership with Tunisia in the health sector and to support its efforts in the fight against the coronavirus (COVID-19) pandemic.During the meeting, the Chinese ambassador said his country is ready to provide the necessary material support (equipment and medical supplies) to help Tunisia fight the COVID-19, said a statement of the Health Ministry.The meeting also focused on ways to complete and equip the new hospital in Sfax, funded by a Chinese donation.","30/03/2020 15:48, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12507202-china-willing-to,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,“Psychologists and lawyers should provide voluntary support to families in general lockdown” (Radhia Jeribi),"(TAP) - President of the National Union of Tunisian Women (French: UNFT) Radhia Jeribi called on psychotherapists and lawyers to provide assistance and psychological counseling to families, voluntarily and free of charge, during this period of the coronavirus and general lockdown.   Speaking to TAP, Jeribi said a toll free number was made available since last week so as to answer all women's enquiries and help them during the lockdown by offering them free legal advice.«About 20 calls bout verbal violence between couples due to stress caused by the lockdown have been received by UNFT,» she pointed out, warning against the increase of domestic violence.           ","30/03/2020 15:39, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12507175--psychologists-and,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,Fakhfakh chairs working session on measures to complete school and academic year,"(TAP) - A ministerial working session was held on Monday in the presence of Premier Elyes Fakhfakh and the ministers of Education and of Higher Education and Scientific Research.The meeting focused on ongoing preparations for the completion of the school and academic year, as part of measures to be adopted on the health situation in the country and the decision to be taken on ending or extending the general lockdown period, the Prime Ministry said in a press release Monday.Both ministers presented the possible scenarios in case of continuing classes through virtual platforms and TV channels.The ministers further presented an overview on consultations made with social stakeholders and experts regarding the best procedures to complete the school year.To this end, the PM pointed out the need to complete the school and academic year in full conformity with the principle of equal opportunities.It is imperative to organise the national tests in the best health, security and social conditions, Fakhfakh indicated.  ","30/03/2020 15:31, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12507105-fakhfakh-chairs,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,"COVID-19: thirty-four more confirmed cases in Tunisia, bringing total to 312","(TAP) - Thirty-four new confirmed COVID-19 cases were reported on Sunday in Tunisia, bringing the overall number to 312, announced the Health Ministry.Since the spread of the virus, 3,305 samples were taken, the ministry added in a press release.The number of deaths did not rise: eight were announced on Saturday evening (3 in Sfax, 1 in Sousse, 1 in Ariana, 1 in Kef, 1 in Mahdia and 1 in Tataouine).Sunday's confirmed infections follow test results which came positive out of 536 samples in Charles Nicolle hospital (287 samples) and Pasteur Institute (249).   The geographical distribution of the 312 confirmed cases over 21 governorates is as follows: Tunis (79), Ariana (44), Ben Arous (29), Médenine (19), Sousse (25), Monastir (25), Bizerte (21), Kébili (15), Sfax (11), Manouba (09), Nabeul (08), Tataouine (06), Kef (06), Tozeur (06), Gabès (04), Mahdia (05), Sidi Bouzid (03), Kairouan (02), Zaghouan (02), Gafsa (01) and Kasserine (01).The number of Tunisian nationals who were repatriated and placed in mandatory self-quarantine reached 18,305, figures released on March 28 show. 12,177 completed the quarantine period, while the remaining 6,128 are still in self-isolation under daily medical supervision.The ministry said, in this vein, the pandemic's evolution is a ""telltale sign that the virus is spreading rapidly  in several regions of the country"" hence the need to ""abide by self-quarantine and general lockdown which are key preventive measures to contain the spread of COVID-19.."" Citizens are called to fully observe the law and shoulder their collective responsibility by complying with health protection measures.          ","30/03/2020 10:46, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12505743-covid-19,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,"COVID-19: thirty-four more confirmed cases in Tunisia, bringing total to 312","(TAP) - 34 more confirmed cases of infection with COVID-19 have been reported on Sunday in Tunisia, bringing the overall number to 312, announced the Health Ministry. ","29/03/2020 20:18, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12504134-covid-19,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Society,"Plan for protection of health personnel, set up","(TAP)-A plan to protect health professionals against COVID-19 has been set up, the Health Ministry announced at the end of a working session on Sunday devoted to this issue.The working session, chaired by Health Minister Abdellatif El Mekki, was attended by the heads of occupational medicine and occupational diseases departments in university hospitals, the director of the Labour and Occupational Diseases Institute and members of the permanent commission on monitoring the spread of coronavirus.The meeting focused on means to protect health professionals and the organisation of stand-by duties in the units in charge of taking care of the sick.Over 100 medics and paramedics in the public and private sectors are currently subject to self-isolation.""The number of doctors suffering from coronavirus rose to 4 on Friday,"" according to the secretary general of the General Health Federation Othman Jallouli.  ","29/03/2020 18:02, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Society/12503796-plan-for-protection,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
