Topic,Title,Content,Date,Link,src
Sports,Tunisia’s soccer cup (Round of 32): El Kalaa sports qualify for round of 16,"(TAP)– El Kalaa sports qualified for the round of 16 of Tunisia’s soccer cup, after beating US Borj Amri 1-0 at extra time, at a round  32 game played on Friday in Borj El Amri.To be played:Saturday, February 29:Chebba (2pm BCD): CS Chebba (L1) - US Ben Guerdane (L1)	Kairouan (2pm): JS Kairouan (L1) - Club Africain (L1)Tataouine (12pm): US Tataouine (L1) - AS Ariana (L2)Menzel Témime (2pm): CS Menzel Temime (regional league) - SC Ben Arous (L2) Sejnane (2PM):  MS Sejnane - WS Al Hamma (Amateur League 2)Sunday, March 1: Réjiche (2PM): AS Rejiche (L2) - CS Sfaxien (L1, Title holders)Boussalem (2pm) US Bousalem (L2) -  EGS Gafsa (L2)Agareb (2pm): KS Agareb (Amateur league  2) - AS Marsa (L2) Djerba Houm Souk (12pm): AS Djerba (L2) - CS Hammam-lif (L1)Metlaoui (2pm): ES Metlaoui (L1) - AS Oued Ellil (L2) Grombalia (2pm):  Grombalia Sport (L2) - CA Bizertin (L1)Chammakh (2pm): Zitouna Chammakh (L.Amateur 1) - US Monastir (L1) Bardo (2pm): S.Tunisien (L1) - AS Soliman (L1)Wednesday March 11 Sebikha (2pm): AS Sebikha (L2) - Espérance de Tunis (L1)Korba (2pm): CS Korba (L2) -  Etoile du Sahel (L1)","28/02/2020 18:25, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12378425-tunisia-s-soccer,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Tennis- Qatar Ladies Open quarter final: Ons Jabeur loses to world’s 11th,"(TAP)– Tunisian tennis player Ons Jabeur conceded defeat to world’s 11th Czech Petra Kvitova 6 -7, 6-7 at the quarter final of the Qatar Ladies Open on Thursday evening.World's 44th Ons Jabeur, on Wednesday, eliminated world’s 3rd Czech Karolina Pliskova 6/4, 3/6, 6/3 at the round of 16.She had previously defeated Katerina Siniakova (58th), and Jennifer Brady (52nd).This is the second quarter-final of a major tennis tournament in Ons Jabeur's career, after the Australian Open last January, where she became the first Arab player to reach that round of one of the four Grand Slam tournaments.","27/02/2020 20:34, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12374758-tennis-qatar,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,U20 Arab Nations Football Cup: Tunisia cruise past Algeria to semi-finals ,"(TAP)– Tunisia qualified for the semi-finals of the U20 Arab Nations Cup after defeating Algeria 2-0 on Thursday in Al-Khobar, Saudi Arabia.The goals were scored by Chiheb Laabidi (13’) and Yanis Sghaier (59’).Tunisia will face Morocco, the winners of the game against Libya, on March 2.   ","27/02/2020 17:07, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12373864-u20-arab-nations,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Boxing - Africa/OQT: Tunisian Khouloud Hlimi and Mariem Homrani qualified for Tokyo-2020,"(TAP) - Tunisian pugilists Khouloud Hlimi (57 kg) and Mariem Homrani (60 kg) have ensured their qualification for the Tokyo-2020 Olympic Games, after reaching the final of their respective categories during the Olympic Qualification Tournament (Africa Zone), organised February 20-29 in Dakar (Senegal).Mariem Homrani qualified for the final at the expense of Congolese Yumba Naomi after the referee's ruling in the first round, while Khouloud Hlimi got her ticket to the final thanks to her victory over Congolese Sakobi Marcelati 5-0.In the finals scheduled for Friday, Hlimi will take on Botswana's Kenosi Sadie while Homrani will face Algerian Imène Khlif.Tunisia is represented at this tournament by 7 boxers (3 girls and 4 boys) out of a total of 321 boxers from 39 countries seeking to win the 33 tickets for the Tokyo Olympics.","27/02/2020 11:43, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12372880-boxing,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,"Qatar Open 2020 - Ons Jabeur downs world’s 3rd Czech Pliskova, advances to quarter-finals","(TAP) – Tunisia’s Ons Jabeur made it through to the quarter-finals of the Qatar Open 2020 after defeating world’s 3rd Czech Karolina Pliskova (6-4, 3-6, 6-3) at a Round of 16 game played on Wednesday evening. Jabeur will face in the quarter-final another Czech opponent, namely world’s 11th Petra Kvitova, who eliminated Latvia’s Jelena Ostapenko (41) 6-2, 5-7, 6-1.  World’s 44th Ons Jabeur had qualified for the third round on Tuesday night after beating US Jennifer Brady (45th) in two sets (6-4, 6-3).Ons Jabeur, had previously defeated another Czech Katerina Siniakova (58) in the Round of 32 (6-3 and 6-2) last Sunday.  The Tunisian champion will play the second quarter-final of a major tennis tournament in her career, after the Australian Open last January, where she became the first Arab player to reach that round of one of the four Grand Slam tournaments.","26/02/2020 21:02, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12370653-qatar-open-2020,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Tunisia's Handball Cup - Eighth finals draw ,(TAP) - Draw for Tunisia's Handball Cup eighth-final games made at the seat of the Tunisian Handball Federation on Wednesday:ASH Ariana – Esperance STClub Africain – Jendouba SHBES Sahel – EM MahdiaAS Hammamet – CA BizertinCS Sakiet Ezzit – AS Medjez El BabUS Gremda – CHB Ksour EssefAS Téboulba – FS Manzel HorSC Moknine – EBS Béni Khiar,"26/02/2020 18:32, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12370073-tunisia-s-handball,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,"ITTF Africa Top 16 Cup: Hmam, Saidani and Garsi knocked out in quarter final ","(TAP) - Tunisian table tennis player Adem Hmam lost to Egyptian Ahmed Saleh 0-4, on Tuesday, in the quarter-final of the ITTF Africa Top 16 Cup, organised in Tunis.In women's, Tunisian Safa Saidani was beaten in the quarter-final by  Cameroonian Sarah Hanffou 3-4, as was Fadwa Garsi who was eliminated at the same stage of the competition by Nigerian Edem Offiong 1-4. ","26/02/2020 12:33, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12368702-ittf-africa-top-16,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Qatar Open - Ons Jabeur through to Round of 16 after win over US Jennifer Brady,"(TAP) – World’s 44th Tunisia’s Ons Jabeur, on Tuesday evening, qualified for the Round of 16 of the Qatar Open 2020 after defeating world’s 45th Jennifer Brady 2-0 (6-4/6-3) at a round of 32 game.Jabeur will face in the third round world’s 3rd Czech Karolína Plíšková who defeated US Bernarda Pera (world’s 63rd) in two sets (6-3/6-0).Ons Jabeur, who had received wild-card entry into Qatar Open main draw, had advanced to the Round of 32 after defeating Czech Kateřina Siniaková (58th) in two sets (6-3 and 6-2). ","25/02/2020 20:56, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12366316-qatar-open-ons,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Dubai Tennis Championships - Malek Jaziri eliminated by Novak Djokovic at first round,"(TAP) – World’s 260th Tunisian tennis player Malek Jaziri was eliminated at the first round of the Dubai Tennis Championships after losing to world’s 1st Serb Novak Djokovic (6-1, 6-2).Jaziri had received a wild-card entry into the Main Draw.Djokovic has won the Dubai championships three times in a row (2009, 2010 and 2011).The title holder is Swiss Roger Federer who will miss tennis courts until next after a surgery on his right knee.","24/02/2020 18:10, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12361352-dubai-tennis,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Qatar Total Open 2020: Jabeur through to Round of 32 ,"(TAP) - Tunisian tennis player Ons Jabeur (world No.44) qualifed on Sunday night to Round of 32 of the Qatar Total Open 2020 after defeating Czech Katerina Siniakova (world No.55), 2-0 (6-3, 6-2). Jabeur will play in the next round winner of the game opossing US Alison Riske to US Jennifer Brady. ","24/02/2020 10:17, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12359038-qatar-total-open,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
