Content,Date,Link,Title,Topic,src
"The coronavirus outbreak has turned many of us into nervous germophobes, seeking to protect ourselves from infection by washing our hands methodically and frequently, avoiding unnecessary contact with so called high-touch surfaces and methodically sanitizing packages, our homes and our bodies.Courtenay Patlin, a 28-year-old in Los Angeles, is trying to find balance between appropriate caution and overreaction. Several weeks ago, before the California shelter-in-place order, Ms. Patlin decided to mostly stay indoors.She used to clean her apartment and her hands with pure bleach and cleaning solutions until the skin on her fingers started to peel off, which she would take as a sign that she was cleaning the proper amount.In recent years, she said, she had managed what is known as “contamination O.C.D.” with medication and therapy. But these days, Ms. Patlin has felt her O.C.D. take reign again.Those who have successfully gone through treatment to overcome or manage a contamination obsession and sanitizing compulsion are working hard to cope.The residential treatment was followed by a monthlong step-down recovery program, during which she lived in an apartment with other O.C.D. patients.Exposure and response prevention therapy is the most effective treatment, experts say. It systematically tests a patient’s worries that something will harm them by exposing them in a prolonged, repetitive and intensifying system to things that they fear.Dr. Riemann said he and other professionals in this field have been conferring daily about ways to dilute exposure therapy so that it conforms to the public health coronavirus standards while still offering therapeutic value.A silver lining for some people diagnosed with O.C.D. is that the pandemic is showing them how far they have come.Mr. Blitt, who has always relied on humor to help him cope — as a kid he once dressed as a bottle of Purell for Halloween — is still finding ways to laugh.","April 3, 2020, 5:00 a.m. ET",https://www.nytimes.com//2020/04/03/style/ocd-coronavirus-challenges.html,"For Those With O.C.D., a Threat That Is Both Heightened and Familiar",Style,https://static01.nyt.com/images/2020/04/02/fashion/02VIRUS-OCD1/merlin_171098970_fc5f97ac-956f-4837-aa5d-3903f88ddfa8-jumbo.jpg
"Earlier this month, Eric Richard was in Bali, Indonesia, enjoying the tropical weather and carefree life of a retiree. Last summer, at 29, Mr. Richard had quit his job as a corporate operations manager to become a “digital nomad.”Now the coronavirus has thrashed several nation’s economies, from Japan to Germany. The U.S. stock market had its steepest drop ever in March. Naturally, some are predicting the decline or end of the FIRE lifestyle.But the couple, who wrote a FIRE how-to guide, “Quit Like a Millionaire,” consider themselves “some of the most pessimistic people in this space,” Ms. Shen said. That caution, along with their engineer training to create multiple backup plans, has served them well.That unfortunate circumstance is where Mr. Richard finds himself. Not only did he retire less than a year ago, but he also practices “lean FIRE” — generally defined as a net worth of between $500,000 and $1 million (as opposed to the $1 million and greater many accumulate before “firing”).Ms. Shen and Mr. Leung are similarly sanguine about their continued future as millennial retirees, though they are making lifestyle adjustments. “Going forward, we are going to live on $40,000 a year, and maybe less,” Ms. Shen said. “Because I’m finding all kinds of deals.”","April 2, 2020",https://www.nytimes.com//2020/04/02/style/fire-movement-stock-market-coronavirus.html,They All Retired Before They Hit 40. Then This Happened.,Style,https://static01.nyt.com/images/2020/04/02/fashion/01VIRUS-FIRE-bali-beach/01VIRUS-FIRE-bali-beach-videoLarge.jpg
"In recent weeks, as the coronavirus has tightened restrictions on public and private life, Americans have been hoarding toilet paper, their shopping carts piled high, as supplies were quickly depleted: the shelves, and sometimes whole aisles, bare.I grew up with an Iranian Muslim mother, who had passed along the ritual of washing after every bowel movement. What began as a source of shame (“Why do you keep watering cans next to all your toilets?” my friends would ask when they came to our house) would eventually become a badge of honor. My bathroom hygiene was immaculate. I would never know skid marks, except as something grotesque and unfathomable, like fascism.Depictions of bidets in popular culture often focus on luxury models. In a 2016 episode of “Keeping Up With the Kardashians,” for example, Kris and Kylie Jenner visit the West Hollywood gallery of Toto, the Japanese brand famed for its toilets that offer, among other features, a “rear wash” nozzle that jerks up and down while emitting a thin stream of water like a precision strike missile.A 2017 “Broad City” episode shows Ilana Glazer’s character romanced by the rhythmic pulse of her affluent Upper East Side employer’s bidet, which offers settings like “staccato” and “water slide.”When obstructions occur in the wastewater treatment plant in Charleston, S.C., the city hires divers to submerge through 13 stories of sewage, where they fill a dive cage with as many wipes as they can find before the obstruction is unearthed.","April 1, 2020",https://www.nytimes.com//2020/04/01/style/toilet-paper-shortage-bidet-coronavirus-wipes.html,Is It Time for Americans to Embrace the Bidet?,Style,https://static01.nyt.com/images/2020/04/01/fashion/01virus-bidet-do-not-edit-for-print-cinemagraph-still/01virus-bidet-do-not-edit-for-print-cinemagraph-still-videoLarge.jpg
"You might not know Batsheva Hay, Christopher John Rogers and Carly Cushnie. They are emerging independent designers based in New York with relatively small namesake companies.Of the 477 members of the Council of Fashion Designers of America (CFDA), almost 40 percent, by far the largest number, is made up of brands that were worth under $1 million last year. The next largest percentage, 22 percent, are brands that earned under $5 million.“I’m getting dozens of calls a day,” he said. “That’s what scares them.”Mr. Rogers, 26, founded his company a year after graduating from the Savannah College of Art and Design in 2016. He has a signature style that combines Joan Crawford and the Cotton Club, heavy on lavish fabrics and saturated jewel tones. His clothes have been worn by Tracee Ellis Ross and Rihanna.“If I hadn’t won the fund, I don’t know what we would be doing now,” he said in a call from his boyfriend’s apartment in Bushwick in Brooklyn, where he is holed up, miles away from his SoHo studio (the one he moved into in January) making mood boards in his bedroom.Mr. Rogers said:Ms. Hay, 39, founded Batsheva in 2016 after a stint as a lawyer. She was at the forefront of the recent trend toward post-male-gaze prairie dress, an aesthetic that could perhaps be best described as ironic Amish. The line is now sold in about 50 stores around the world.“I’ve been looking at oven mitts, aprons, tea towels — things we can make using the fabrics we have that people might actually want now,” she said.Ms. Cushnie, 36, is British, attended Parsons and founded her company 12 years ago with a fellow student as Cushnie et Ochs. Two years ago, she restructured and went out on her own. Some 100 stores now carry her trademark blend of architectural body-conscious urbanity. She is working at home in Bed-Stuy, eight months pregnant, juggling her one-year-old and her 12 employees.Right now we would normally be shipping prefall, but many retailers don’t want it until June or July, or even later. Lots of retailers are calling to make cuts or cancel fall entirely because they think they will use prefall as fall. I’d say our total fall orders have been reduced by half. We’re missing a quarter’s worth of money. Payroll protection doesn’t pay for that.","April 2, 2020",https://www.nytimes.com//2020/04/02/fashion/coronavirus-fashion-bankruptcy.html,Will We Lose a Generation of Designers?,Style,https://static01.nyt.com/images/2020/04/01/fashion/01DESIGNERS-IN-CRISIS-batsheva-hay-1/01DESIGNERS-IN-CRISIS-batsheva-hay-1-videoLarge-v2.jpg
"A tutorial on how to make your own fabric face mask from common household materials.Guidance on whether to wear a face mask has been evolving. But the Trump administration is expected to announce this week that all Americans should wear cloth masks if they go out in public, based on a forthcoming recommendation from the Centers for Disease Control and Prevention amid new concerns that the coronavirus is spread by infected people who have no symptoms.You will need:Choose your piece of cotton fabric, prewash it on the warmest setting and dry it on high heat. (Tea towels are better to use than T-shirts or linens, according to the Stanford Anesthesia Informatics and Media Lab.)Now it’s on to the fabric ties.Cut 4 thin pieces of material, about 18” long and ¾” wide. Fold each piece of fabric twice lengthwise, then once more to tuck the rough edges inside. Sew a straight line along the middle. This will prevent the fabric ties from having frayed edges.Take one of your rectangular fabric layers. With the “right side” (or the outer-facing side, where the pattern might be) facing you, pin down the 4 fabric ties, one piece per corner. Make sure that the ties are gathered in the center of the fabric layer before advancing to the next step.PUTTING IT TOGETHERTake the second layer of fabric and line it up with the first. The “right sides” (or patterned sides) of the fabric should be facing each other, sandwiching the fabric ties or elastics. Secure the fabric sandwich together with pins.Eyeball a midway point. From the middle, sew a straight line across the mask, about ¼” above the bottom edge of the fabric, toward the bottom left-hand corner. Remove any pins as you sew past them.Make sure that the elastic or fabric ties are secured in the corners, sandwiched by your two layers of fabric, as you sew over their ends. You want to make sure your needle goes through the three pieces: the top layer, the end of the fabric tie, and the bottom layer. Add a couple stitches forward and backward (in both directions) to secure your ties in place.Stitch all around the perimeter of the fabric layers, repeating the forward and backward motion at each corner to secure all the elastic ends or fabric ties.Turn your project right-side out from the little 1 ½” gap. Your fabric ties or elastics should now stick out, like little legs.Make three staggered pleats lengthwise on the mask, as if folding a paper fan. This helps the mask conform to the wearer’s face. Secure each pleat with pins.With your pleats held in place by pins, stitch around the perimeter of the mask, ¼” away from the edge of the seam. This is called a top stitch. Take care when stitching over the pleats as the fabric may be quite thick.","March 31, 2020",https://www.nytimes.com//article/how-to-make-face-mask-coronavirus.html,How to Sew a Face Mask,Style,https://static01.nyt.com/images/2020/03/31/fashion/31virus-diymasks-topper3/31virus-diymasks-topper3-videoLarge-v2.jpg
"As the coronavirus outbreak continues to spread across the United States, many influencers are using their platforms to educate their followers about symptoms and testing, and to encourage them to stay inside.On March 26, just eight days after she tested positive for Covid-19, the fashion influencer Arielle Charnas alerted her 1.3 million followers that she would be leaving her Manhattan apartment with her husband and daughters and heading to a house in the Hamptons. The next day she posted a photo of herself and her daughter strolling around the neighborhood. When people got angry, she turned off the comments on her posts.This week, the food blogger Ali Maffucci also left the New York metropolitan area for Florida with her family. She said that none of them are symptomatic, but she believes that people in her building may be sick.All three women stressed that, upon reaching their destinations, they would take precautions to avoid the spread of disease. Ms. Charnas said in a statement through her publicist that she is following “doctor’s recommendations to a tee” and taking “every precaution to ensure we did not and will not come into contact, six feet apart or otherwise, with any other individual for the foreseeable future.”“You are literally an influencer, and this will influence people to make similar (irresponsible and selfish) choices,” a commenter wrote on Ms. Maffucci’s post. Ms. Davis did not respond to a request for comment.“We all make mistakes,” Ms. Charnas said in an email statement, “including me, especially when a crisis such as this is developing so quickly. My family and I apologize to those we have offended for not appearing to be taking this crisis seriously, but I am absolutely committed to making informed, responsible decisions for my family and community.”The primary issue many medical experts take issue with, however, is not the influencers’ decision to leave the city against public health guidelines, but that they’re promoting this message to potentially millions of people.","April 2, 2020",https://www.nytimes.com//2020/04/02/style/influencers-leave-new-york-coronavirus.html,Flight of the Influencers,Style,https://static01.nyt.com/images/2020/04/01/fashion/01VIRUS-INFLUENCERS-catskills/merlin_171198093_2359fa2f-a13d-4183-b41f-7dbf1f21f91c-videoLarge.jpg
"When Dave Kyu, 34, an arts administrator in Philadelphia, realized that he would be working from home for the foreseeable future, he began to fantasize about the projects he could now complete around the house.But in the midst of a global pandemic that has upended nearly every facet of modern life, people are finding it harder and harder to get things done.Anne Helen Petersen, a journalist and the author of the forthcoming book “Can’t Even: How Millennials Became the Burnout Generation,” seconded his assertion. “We’re so used to making every moment of ours productive in some capacity,” she said. “Like, I’m on a walk, I should listen to this information podcast that makes me more informed or a better person.”“For a lot of Americans, everyone’s job is at stake right now whether you thought you were upper middle class, middle or working class, everyone’s livelihood is at stake,” she said. Right now she is focusing on not allowing her mind to “drift to a place of fear, concern, panic or stress,” she said, and instead encouraging herself to “keep the faith and remain grateful.”","April 1, 2020",https://www.nytimes.com//2020/04/01/style/productivity-coronavirus.html,Stop Trying to Be Productive,Style,https://static01.nyt.com/images/2020/04/05/fashion/01VIRUS-PRODUCTIVITY-art/01VIRUS-PRODUCTIVITY-art-videoLarge.jpg
"Many people spend their nights now tossing and turning, struggling to unglue from the constant scroll of coronavirus news updates.Set yourself up for success by doing the little things: use blackout curtains if you’re sleeping while it’s bright, ditto to earplugs or a sleep mask (Wirecutter, a company owned by The New York Times that judges products, recommends this sleep mask, but even a light pillow or T-shirt works in a pinch).“It may be tempting to stay up late binge-watching your favorite shows because you don’t have to go to work in the morning, but it is more important than ever to prioritize your sleep,” said Kristen L. Knutson, an associate professor at Northwestern University’s Center for Sleep and Circadian Medicine.This is a must, not only because it makes you tired and ready for bed. Exercising also helps with something else we’re all dealing with, whether we’re sick or well: anxious, nervous energy. Dr. Kirsch said, “This can be as simple as a neighborhood walk or doing an exercise video at home.” (If you do go on a walk, stay six feet away from other people.)Also, if you are suffering from anxiety, speak to a clinic or a doctor or a mental health professional, or at least try to get one of those. Debilitating anxiety is a medical condition.And while you’re taking care of your body, take care of your space. If possible, use HEPA filter air cleaners for your bedroom, wash your sheets twice a week, and give your home, particularly your bedroom, a nightly clean. Here is a guide on how to clean your home for coronavirus. You’re probably spending more time than ever there; this can promote peace of mind and might lower anxiety.The science is simple: a good night’s sleep supports the release and production of cytokine, a protein that helps the immune system quickly respond to antigens — foreign substances which cause the body’s immune response to kick in — according to Dr. Medalie.","March 25, 2020",https://www.nytimes.com//2020/03/25/style/self-care/sleep-tips-benefits-coronavirus.html,How to Get More Sleep Tonight,Style,https://static01.nyt.com/images/2019/10/20/fashion/20Sleep-1/20Sleep-1-videoLarge.jpg
"They are scrounging for fabric, cutting it up, stitching it together. They are repurposing drapes, dresses, bra straps, shower curtains, even coffee filters. They are building supply chains, organizing workers, managing distribution networks.In the meantime, some of the void is being filled by legions of sewers, called to duty in a matter of days via social media and word of mouth, their skills no longer taken for granted or dismissed as a mere hobby. They are working in living rooms, at kitchen tables and inside shuttered storefronts. They are making masks for America, much as a previous generation manufactured ammunition and tended “victory gardens” during World War II.“Are they effective like an N95? No,” she said. “We’re not claiming they are. If we had all the N95s in the world, it would be wonderful. But there’s a shortage right now.”“We want to put masks on everybody,” said Bettina D’Ascoli. She runs a sewing studio in Hastings-on-Hudson, N.Y., that offers sewing classes to children and adults. The shop is closed now, and Ms. D’Ascoli has parked herself on a metal stool at a sturdy wooden worktable inside. Using the studio’s supply of prewashed quilting cotton, she has made about 50 masks so far. They have bright colors and vivid patterns: Blue with red polka dots. Tiny fish. Jelly beans.“They need anything they can get, and that’s happening all over our country,” Ms. Lavender said.A man from a nearby funeral home recently went into Treadle Yard Goods and dropped off his business card.In Philadelphia, Nan Ides had plenty of fabric. A recent retiree, she had plenty of time, too. She pulled out her sewing machine and started making masks, using materials left over from stitching baby clothes and a floral pattern — purple, green, black and white — from a summer dress that she had never managed to finish.A group of medical workers tried them on and smiled.Ms. Bakken said she can currently sew five masks an hour, but she hopes to get that number up to six or eight. “It’s a far cry from a corset or a bodice,” she said. She thinks her team can make about 1,500 masks a week.Just outside Nashville, Krystal Douglas runs Music City Sewing. The four-year-old company does work for the entertainment industry; Ms. Douglas once made a jacket for Bon Jovi. All of a sudden, performers have stopped touring. “My company lost all our work,” Ms. Douglas said.","March 25, 2020",https://www.nytimes.com//2020/03/25/business/coronavirus-masks-sewers.html,"A Sewing Army, Making Masks for America",Style,https://static01.nyt.com/images/2020/03/27/business/25altVIRUS-SEWING1-print/merlin_170934921_2525cc30-3835-455a-9bc8-612222c70faa-videoLarge.jpg
"Under normal circumstances, Nicole Mereshensky works out about five times a week at various indoor cycling and high intensity interval training studios around Manhattan.When she goes to one-hour classes at Barry’s Bootcamp, where the protocol is four 15-minute intervals of treadmill running and floor weight exercises, she brings a spray bottle of sanitizer and four pairs of latex gloves.Vando Cabral, 35, owns Punch Force Fitness, a boxing fitness studio in Manhattan, with his brother. “I haven’t seen too much of a slowdown,” said Mr. Cabral, who is buying a lot of cleaning supplies. “And with the schools closing, kids have jumped in and are taking classes. But of course we are all worried and that’s why we need to keep at it, washing hands and keeping things as clean as possible.”Angie Beis, 39, is a physical therapist and personal trainer hired by individuals for one-on-one sessions at their homes, and by corporations who bring her to their offices to give group training to employees. As more people work from home, her corporate business is already drying up.“We’ve reduced physical assists and the use of props,” the note read. “We’ve also increased cleaning protocols to be sure all doorknobs, props, weights and other surfaces are sanitized more frequently.” It also said: “Clean is kind — we can do this together.”For the last two Mondays, they had class-wide discussions about ways to maintain the community of their weekly class while protecting themselves against germs that could lead to Covid-19. “What we have decided to do, all of us, is to buy our own yoga bags. They’ve gone to Five Below, T.J. Maxx and Walmart and each have purchased a belt, two blocks, a mat and a towel,” Ms. Rubinstein-Stern said. A hospital has provided disinfectant wipes.“The person on the treadmill next to me was hacking a lung,” she wrote. “I just lost it. No more — I can’t mentally handle it! So it’s Obé and outdoor running for me! Yea!”Variis will be compatible with a new home bike from SoulCycle that will be available for pre-order starting March 13. (A spokeswoman for SoulCycle said that the timing of both products was “in no way a result of Covid-19.”)","Published March 12, 2020",https://www.nytimes.com//2020/03/12/style/coronavirus-fitness-gyms.html,Maybe Now You’ll Stop Mocking Peloton,Style,https://static01.nyt.com/images/2020/03/15/fashion/11virus-fitness/11virus-fitness-videoLarge-v2.jpg
