Content,Date,Link,Title,Topic,src
"SEOUL (Reuters) - North Korea said the United States will not drop its hostile policy, even though their two leaders have a good relationship, state media KCNA said on Monday. ","March 30, 2020 /  9:38 AM / Updated 4 hours ago",https://www.reuters.com//article/us-northkorea-us/north-korea-says-u-s-will-not-drop-hostile-policy-despite-leaders-good-relationship-kcna-idUSKBN21H16L,North Korea says U.S. will not drop hostile policy despite leaders' good relationship: KCNA,World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
"LONDON (Reuters) - Britain has ordered 10,000 ventilators from a consortium of leading aerospace, engineering and Formula One racing companies which will start production this week in response to an urgent  government call for industry to help save lives.  ","March 30, 2020 /  6:23 AM / Updated an hour ago",https://www.reuters.com//article/us-health-coronavirus-britain-ventilator/britain-orders-10000-ventilators-from-f1-aerospace-consortium-idUSKBN21H0KF,"Britain orders 10,000 ventilators from F1, aerospace consortium",World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
WASHINGTON (Reuters) - Major U.S. airlines asked the U.S. Treasury to move quickly to release up to $58 billion in government grants and loans and recommended a formula to divide up the money. ,"March 30, 2020 /  3:32 AM / Updated 10 hours ago",https://www.reuters.com//article/us-health-coronavirus-airlines/major-airlines-urge-u-s-treasury-to-disburse-assistance-quickly-idUSKBN21H0A0,Major airlines urge U.S. Treasury to disburse assistance quickly,World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
SYDNEY (Reuters) - Australia’s Qantas Airways Ltd (QAN.AX) said on Monday that pilots had voted in favor of a pay deal that would pave the way for the airline to fly the world’s longest non-stop commercial flights from Sydney to London. ,"March 30, 2020 /  2:04 AM / Updated 9 hours ago",https://www.reuters.com//article/us-qantas-airbus-pilots/qantas-says-pilots-approve-pay-deal-covering-sydney-london-flights-idUSKBN21H05H,Qantas says pilots approve pay deal covering Sydney-London flights,World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
AMMAN (Reuters) - Syria’s health ministry said on Sunday that a woman who died after being rushed to hospital for emergency treatment was found to have been infected by coronavirus in the country’s first officially reported death from the disease. ,"March 29, 2020 /  3:35 PM / Updated 9 hours ago",https://www.reuters.com//article/us-health-coronavirus-syria/syria-reports-first-coronavirus-death-as-fears-grow-of-major-outbreak-idUSKBN21G0O6,Syria reports first coronavirus death as fears grow of major outbreak,World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
"MANILA (Reuters) - A medical evacuation plane exploded during take-off in the Philippine capital on Sunday, killing all eight passengers and crew, including an American and a Canadian, officials said. ","March 29, 2020 /  3:09 PM / in 20 hours",https://www.reuters.com//article/us-philippines-crash/plane-explosion-in-philippines-kills-eight-including-two-foreigners-idUSKBN21G0NG,"Plane explosion in Philippines kills eight, including two foreigners",World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
"DUBAI (Reuters) - Qatar Airways will continue to operate flights as long as necessary to get stranded travelers home, Chief Executive Akbar al-Baker told Reuters on Sunday, but warned that the carrier could soon run out of cash. ","March 29, 2020 /  7:53 AM / a day ago",https://www.reuters.com//article/us-health-coronavirus-qatar-airways/qatar-airways-ceo-says-will-keep-flying-but-warns-cash-is-running-out-idUSKBN21G07Q,Qatar Airways CEO says will keep flying but warns cash is running out,World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
"RIYADH (Reuters) - Saudi Arabian Airlines will begin exceptional commercial flights this week to bring British nationals and their families back to the United Kingdom, and similar flights are being arranged for U.S. citizens to return home, both countries said. ","March 28, 2020 /  7:11 AM / 2 days ago",https://www.reuters.com//article/us-health-coronavirus-usa-saudi/britain-u-s-working-with-saudis-to-repatriate-citizens-idUSKBN21F08R,"Britain, U.S. working with Saudis to repatriate citizens",World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
RIYADH (Reuters) - Saudi Arabia said on Sunday it was extending indefinitely the suspension of international passenger flights and workplace attendance in both public and private sectors among efforts to contain the spread of the coronavirus. ,"March 28, 2020 /  9:24 PM / in 2 days",https://www.reuters.com//article/us-health-coronavirus-saudi/saudi-arabia-extends-suspension-of-flights-work-indefinitely-idUSKBN21F0XR,"Saudi Arabia extends suspension of flights, work indefinitely",World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
"PARIS (Reuters) - An Airbus plane landed in Spain on Saturday carrying a cargo of more than 4 million face masks from China, the European planemaker said, as countries race to source more protective gear as they battle the coronavirus pandemic. ","March 28, 2020 /  10:55 AM / in 2 days",https://www.reuters.com//article/us-health-coronavirus-airbus-masks/airbus-plane-delivers-face-masks-from-china-to-coronavirus-hit-spain-idUSKBN21F0E1,Airbus plane delivers face masks from China to coronavirus-hit Spain,World,https://s2.reutersmedia.net/resources_v2/images/core-placeholder-featured.png
